"participant","sex","age","music_yrs","block","trial_n","stim","stim_idx","trial_rep_n","resp","RT","dB_ratio"
"1412","m",19,1,1,16,"yl6.wav",6,2,1,1.7608,0
"1412","m",19,1,1,17,"yl7.wav",7,2,1,1.3941,12
"1412","m",19,1,1,18,"yl10.wav",10,2,1,1.7342,48
"1412","m",19,1,1,19,"yl8.wav",8,2,1,1.2845,24
"1412","m",19,1,1,20,"yl1.wav",1,2,0,1.3847,-60
"1412","m",19,1,1,21,"yl9.wav",9,2,1,1.653,36
"1412","m",19,1,1,22,"yl11.wav",11,2,1,1.4574,60
"1412","m",19,1,2,1,"yl8.wav",8,1,1,1.8976,24
"1412","m",19,1,2,2,"yl11.wav",11,1,1,1.2049,60
"1412","m",19,1,2,3,"yl1.wav",1,1,0,1.7302,-60
"1412","m",19,1,2,4,"yl7.wav",7,1,1,1.5845,12
"1412","m",19,1,2,5,"yl3.wav",3,1,0,1.725,-36
"1412","m",19,1,2,6,"yl9.wav",9,1,1,1.4032,36
"1412","m",19,1,2,7,"yl2.wav",2,1,0,1.544,-48
"1412","m",19,1,2,8,"yl5.wav",5,1,1,1.4491,-12
"1412","m",19,1,2,9,"yl6.wav",6,1,1,1.3515,0
"1412","m",19,1,2,10,"yl4.wav",4,1,1,1.1283,-24
"1412","m",19,1,2,11,"yl10.wav",10,1,1,1.5953,48
"1412","m",19,1,2,12,"yl6.wav",6,2,1,1.1627,0
"1412","m",19,1,2,13,"yl9.wav",9,2,1,1.241,36
"1412","m",19,1,2,14,"yl2.wav",2,2,0,1.2962,-48
"1412","m",19,1,2,15,"yl10.wav",10,2,1,1.6139,48
"1412","m",19,1,2,16,"yl1.wav",1,2,0,1.2679,-60
"1412","m",19,1,2,17,"yl4.wav",4,2,0,1.2553,-24
"1412","m",19,1,2,18,"yl5.wav",5,2,1,1.4718,-12
"1412","m",19,1,2,19,"yl8.wav",8,2,1,1.9181,24
"1412","m",19,1,2,20,"yl7.wav",7,2,1,1.6345,12
"1412","m",19,1,2,21,"yl3.wav",3,2,0,1.6108,-36
"1412","m",19,1,2,22,"yl11.wav",11,2,1,2.116,60
"1412","m",19,1,3,1,"yl5.wav",5,1,0,1.9446,-12
"1412","m",19,1,3,2,"yl2.wav",2,1,0,1.1859,-48
"1412","m",19,1,3,3,"yl7.wav",7,1,1,1.3346,12
"1412","m",19,1,3,4,"yl8.wav",8,1,1,1.238,24
"1412","m",19,1,3,5,"yl4.wav",4,1,0,1.2917,-24
"1412","m",19,1,3,6,"yl10.wav",10,1,1,1.481,48
"1412","m",19,1,3,7,"yl11.wav",11,1,1,1.6404,60
"1412","m",19,1,3,8,"yl1.wav",1,1,0,1.8864,-60
"1412","m",19,1,3,9,"yl6.wav",6,1,1,1.7399,0
"1412","m",19,1,3,10,"yl3.wav",3,1,0,1.485,-36
"1412","m",19,1,3,11,"yl9.wav",9,1,1,1.4195,36
"1412","m",19,1,3,12,"yl5.wav",5,2,0,1.3076,-12
"1412","m",19,1,3,13,"yl11.wav",11,2,1,1.5049,60
"1412","m",19,1,3,14,"yl1.wav",1,2,0,1.4224,-60
"1412","m",19,1,3,15,"yl10.wav",10,2,1,1.4915,48
"1412","m",19,1,3,16,"yl6.wav",6,2,1,1.7954,0
"1412","m",19,1,3,17,"yl4.wav",4,2,0,1.384,-24
"1412","m",19,1,3,18,"yl9.wav",9,2,1,1.3062,36
"1412","m",19,1,3,19,"yl8.wav",8,2,1,1.5597,24
"1412","m",19,1,3,20,"yl2.wav",2,2,0,1.4215,-48
"1412","m",19,1,3,21,"yl3.wav",3,2,0,1.4981,-36
"1412","m",19,1,3,22,"yl7.wav",7,2,1,1.4988,12
"1701","f",20,0,1,1,"yl2.wav",2,1,0,2.4239,-48
"1701","f",20,0,1,2,"yl5.wav",5,1,0,1.1137,-12
"1701","f",20,0,1,3,"yl8.wav",8,1,1,2.3658,24
"1701","f",20,0,1,4,"yl6.wav",6,1,0,2.1748,0
"1701","f",20,0,1,5,"yl1.wav",1,1,0,1.203,-60
"1701","f",20,0,1,6,"yl9.wav",9,1,1,1.8279,36
"1701","f",20,0,1,7,"yl11.wav",11,1,1,1.103,60
"1701","f",20,0,1,8,"yl10.wav",10,1,1,1.0527,48
"1701","f",20,0,1,9,"yl3.wav",3,1,0,2.4126,-36
"1701","f",20,0,1,10,"yl4.wav",4,1,0,1.1027,-24
"1701","f",20,0,1,11,"yl7.wav",7,1,1,1.7696,12
"1701","f",20,0,1,12,"yl7.wav",7,2,1,1.1731,12
"1701","f",20,0,1,13,"yl11.wav",11,2,1,1.042,60
"1701","f",20,0,1,14,"yl2.wav",2,2,0,1.8792,-48
"1701","f",20,0,1,15,"yl4.wav",4,2,0,1.1303,-24
"1701","f",20,0,1,16,"yl10.wav",10,2,1,2.0585,48
"1701","f",20,0,1,17,"yl6.wav",6,2,0,1.7695,0
"1701","f",20,0,1,18,"yl8.wav",8,2,1,2.0677,24
"1701","f",20,0,1,19,"yl1.wav",1,2,0,1.9241,-60
"1701","f",20,0,1,20,"yl5.wav",5,2,0,1.0858,-12
"1701","f",20,0,1,21,"yl3.wav",3,2,0,0.9962,-36
"1701","f",20,0,1,22,"yl9.wav",9,2,1,2.1025,36
"1701","f",20,0,2,1,"yl4.wav",4,1,0,3.0878,-24
"1701","f",20,0,2,2,"yl2.wav",2,1,0,1.1859,-48
"1701","f",20,0,2,3,"yl8.wav",8,1,1,1.9872,24
"1701","f",20,0,2,4,"yl3.wav",3,1,0,1.9386,-36
"1701","f",20,0,2,5,"yl1.wav",1,1,0,1.4594,-60
"1701","f",20,0,2,6,"yl6.wav",6,1,0,1.161,0
"1701","f",20,0,2,7,"yl9.wav",9,1,1,1.7219,36
"1701","f",20,0,2,8,"yl7.wav",7,1,1,1.7021,12
"1701","f",20,0,2,9,"yl5.wav",5,1,0,1.9534,-12
"1701","f",20,0,2,10,"yl11.wav",11,1,1,2.0007,60
"1701","f",20,0,2,11,"yl10.wav",10,1,1,1.0299,48
"1701","f",20,0,2,12,"yl9.wav",9,2,1,0.9585,36
"1701","f",20,0,2,13,"yl2.wav",2,2,0,1.9198,-48
"1701","f",20,0,2,14,"yl1.wav",1,2,0,1.0349,-60
"1701","f",20,0,2,15,"yl7.wav",7,2,1,1.992,12
"1701","f",20,0,2,16,"yl6.wav",6,2,0,2.0014,0
"1701","f",20,0,2,17,"yl8.wav",8,2,1,2.3661,24
"1701","f",20,0,2,18,"yl3.wav",3,2,0,1.9758,-36
"1701","f",20,0,2,19,"yl10.wav",10,2,1,1.5851,48
"1701","f",20,0,2,20,"yl11.wav",11,2,1,2.3367,60
"1701","f",20,0,2,21,"yl5.wav",5,2,0,1.9194,-12
"1701","f",20,0,2,22,"yl4.wav",4,2,0,1.2042,-24
"1701","f",20,0,3,1,"yl7.wav",7,1,1,2.0945,12
"1701","f",20,0,3,2,"yl2.wav",2,1,0,1.9381,-48
"1701","f",20,0,3,3,"yl4.wav",4,1,0,1.0854,-24
"1701","f",20,0,3,4,"yl8.wav",8,1,1,1.985,24
"1701","f",20,0,3,5,"yl9.wav",9,1,1,1.2703,36
"1701","f",20,0,3,6,"yl11.wav",11,1,1,1.1866,60
"1701","f",20,0,3,7,"yl5.wav",5,1,0,1.9693,-12
"1701","f",20,0,3,8,"yl1.wav",1,1,0,1.2251,-60
"1701","f",20,0,3,9,"yl10.wav",10,1,1,1.9518,48
"1701","f",20,0,3,10,"yl6.wav",6,1,0,1.8235,0
"1701","f",20,0,3,11,"yl3.wav",3,1,0,1.1532,-36
"1701","f",20,0,3,12,"yl2.wav",2,2,0,1.0811,-48
"1701","f",20,0,3,13,"yl7.wav",7,2,1,2.2848,12
"1701","f",20,0,3,14,"yl1.wav",1,2,0,1.8427,-60
"1701","f",20,0,3,15,"yl4.wav",4,2,0,1.153,-24
"1701","f",20,0,3,16,"yl8.wav",8,2,1,1.9076,24
"1701","f",20,0,3,17,"yl9.wav",9,2,1,1.1855,36
"1701","f",20,0,3,18,"yl6.wav",6,2,0,1.9189,0
"1701","f",20,0,3,19,"yl5.wav",5,2,0,1.1743,-12
"1701","f",20,0,3,20,"yl3.wav",3,2,0,1.0702,-36
"1701","f",20,0,3,21,"yl11.wav",11,2,1,1.9021,60
"1701","f",20,0,3,22,"yl10.wav",10,2,1,1.3766,48
"2201","f",28,7,1,1,"yl8.wav",8,1,0,2.6131,24
"2201","f",28,7,1,2,"yl3.wav",3,1,0,1.2183,-36
"2201","f",28,7,1,3,"yl6.wav",6,1,1,2.3593,0
"2201","f",28,7,1,4,"yl7.wav",7,1,0,2.2768,12
